1.146309441130255458e+00,-1.279007166559070763e-02,-2.043648810955422945e-04,2.671518829768237957e-04
1.146432985904639601e+00,-1.317290769686402241e-02,-2.049030455736761125e-04,2.752449366779097240e-04
1.146557051920192860e+00,-1.355580699757941154e-02,-2.051737717405077710e-04,2.833404894238278349e-04
1.146681658418104099e+00,-1.393876993635517758e-02,-2.051806119499066661e-04,2.914381115387137955e-04
1.146806824246185963e+00,-1.432179689376972265e-02,-2.049270308015910258e-04,2.995373866206407776e-04
1.146932567871253417e+00,-1.470488826209670474e-02,-2.044164085787392171e-04,3.076379107520704759e-04
1.147058907391060867e+00,-1.508804444505118525e-02,-2.036520444681222397e-04,3.157392918040208274e-04
1.147185860545791858e+00,-1.547126585754399208e-02,-2.026371595822001881e-04,3.238411488182962872e-04
1.147313444729110454e+00,-1.585455292544546424e-02,-2.013748998017372838e-04,3.319431114544441064e-04
1.147441676998776305e+00,-1.623790608535680136e-02,-1.998683384552280007e-04,3.400448194935401514e-04
1.147570574086842932e+00,-1.662132578438929587e-02,-1.981204788476381706e-04,3.481459223887289900e-04
1.147700152409443675e+00,-1.700481247995111467e-02,-1.961342566520196673e-04,3.562460788575777526e-04
1.147830428076187737e+00,-1.738836663954079764e-02,-1.939125421747261990e-04,3.643449565090967068e-04
1.147961416899180964e+00,-1.777198874054775057e-02,-1.914581425033201612e-04,3.724422315016934215e-04
1.148093134401681592e+00,-1.815567927005812265e-02,-1.887738035463715214e-04,3.805375882279943278e-04
1.148225595826416701e+00,-1.853943872466856657e-02,-1.858622119733782663e-04,3.886307190227727970e-04
1.148358816143562500e+00,-1.892326761030360682e-02,-1.827259970609285133e-04,3.967213238919992113e-04
1.148492810058417302e+00,-1.930716644204011345e-02,-1.793677324522791050e-04,4.048091102597795032e-04
1.148627592018770294e+00,-1.969113574393571708e-02,-1.757899378362626219e-04,4.128937927318915291e-04
1.148763176221988314e+00,-2.007517604886371876e-02,-1.719950805500330970e-04,4.209750928738931197e-04
1.148899576621827734e+00,-2.045928789835160799e-02,-1.679855771112293006e-04,4.290527390018034071e-04
1.149036806934993216e+00,-2.084347184242474338e-02,-1.637637946841768999e-04,4.371264659852186485e-04
