R,LDG,LDGQ,LDP,LDPQ,WD
0.1685,1.36E-02,6.46E-04,5.23E-02,1.60E-02,6.93E-03
0.1695,1.35E-02,6.52E-04,5.21E-02,1.60E-02,6.94E-03
0.1705,1.35E-02,6.57E-04,5.19E-02,1.61E-02,6.95E-03
0.1715,1.35E-02,6.63E-04,5.17E-02,1.61E-02,6.96E-03
0.1725,1.34E-02,6.68E-04,5.15E-02,1.61E-02,6.96E-03
0.1735,1.34E-02,6.74E-04,5.13E-02,1.61E-02,6.97E-03
0.1745,1.34E-02,6.80E-04,5.11E-02,1.62E-02,6.98E-03
0.1755,1.34E-02,6.85E-04,5.09E-02,1.62E-02,6.99E-03
0.1765,1.33E-02,6.91E-04,5.07E-02,1.62E-02,6.99E-03
0.1775,1.33E-02,6.96E-04,5.05E-02,1.62E-02,7.00E-03
0.1785,1.33E-02,7.02E-04,5.03E-02,1.63E-02,7.00E-03
0.1795,1.33E-02,7.07E-04,5.01E-02,1.63E-02,7.01E-03
0.1805,1.32E-02,7.13E-04,5.00E-02,1.63E-02,7.02E-03
0.1815,1.32E-02,7.18E-04,4.98E-02,1.63E-02,7.02E-03
0.1825,1.32E-02,7.24E-04,4.96E-02,1.63E-02,7.03E-03
0.1835,1.31E-02,7.30E-04,4.94E-02,1.64E-02,7.03E-03
0.1845,1.31E-02,7.35E-04,4.92E-02,1.64E-02,7.04E-03
0.1855,1.31E-02,7.41E-04,4.90E-02,1.64E-02,7.04E-03
0.1865,1.31E-02,7.46E-04,4.88E-02,1.64E-02,7.04E-03
0.1875,1.30E-02,7.52E-04,4.86E-02,1.64E-02,7.05E-03
0.1885,1.30E-02,7.57E-04,4.85E-02,1.65E-02,7.05E-03
0.1895,1.30E-02,7.63E-04,4.83E-02,1.65E-02,7.05E-03
0.1905,1.29E-02,7.68E-04,4.81E-02,1.65E-02,7.06E-03
0.1915,1.29E-02,7.73E-04,4.79E-02,1.65E-02,7.06E-03
0.1925,1.29E-02,7.79E-04,4.77E-02,1.65E-02,7.06E-03
0.1935,1.28E-02,7.84E-04,4.76E-02,1.65E-02,7.06E-03
0.1945,1.28E-02,7.90E-04,4.74E-02,1.66E-02,7.07E-03
0.1955,1.28E-02,7.95E-04,4.72E-02,1.66E-02,7.07E-03
0.1965,1.28E-02,8.01E-04,4.70E-02,1.66E-02,7.07E-03
0.1975,1.27E-02,8.06E-04,4.68E-02,1.66E-02,7.07E-03
0.1985,1.27E-02,8.11E-04,4.67E-02,1.66E-02,7.07E-03
0.1995,1.27E-02,8.17E-04,4.65E-02,1.66E-02,7.07E-03
0.2005,1.26E-02,8.22E-04,4.63E-02,1.66E-02,7.07E-03
0.2015,1.26E-02,8.27E-04,4.61E-02,1.66E-02,7.07E-03
0.2025,1.26E-02,8.33E-04,4.59E-02,1.67E-02,7.07E-03
0.2035,1.25E-02,8.38E-04,4.58E-02,1.67E-02,7.07E-03
0.2045,1.25E-02,8.43E-04,4.56E-02,1.67E-02,7.07E-03
0.2055,1.25E-02,8.49E-04,4.54E-02,1.67E-02,7.07E-03
0.2065,1.25E-02,8.54E-04,4.52E-02,1.67E-02,7.07E-03
0.2075,1.24E-02,8.59E-04,4.51E-02,1.67E-02,7.07E-03
0.2085,1.24E-02,8.64E-04,4.49E-02,1.67E-02,7.07E-03
0.2095,1.24E-02,8.70E-04,4.47E-02,1.67E-02,7.07E-03
0.2105,1.23E-02,8.75E-04,4.45E-02,1.67E-02,7.06E-03
0.2115,1.23E-02,8.80E-04,4.44E-02,1.67E-02,7.06E-03
0.2125,1.23E-02,8.85E-04,4.42E-02,1.67E-02,7.06E-03
0.2135,1.22E-02,8.90E-04,4.40E-02,1.67E-02,7.06E-03
0.2145,1.22E-02,8.96E-04,4.39E-02,1.67E-02,7.06E-03
0.2155,1.22E-02,9.01E-04,4.37E-02,1.67E-02,7.05E-03
0.2165,1.21E-02,9.06E-04,4.35E-02,1.67E-02,7.05E-03
0.2175,1.21E-02,9.11E-04,4.34E-02,1.67E-02,7.05E-03
0.2185,1.21E-02,9.16E-04,4.32E-02,1.68E-02,7.04E-03
0.2195,1.20E-02,9.21E-04,4.30E-02,1.68E-02,7.04E-03
0.2205,1.20E-02,9.26E-04,4.29E-02,1.68E-02,7.04E-03
0.2215,1.20E-02,9.31E-04,4.27E-02,1.68E-02,7.03E-03
0.2225,1.19E-02,9.36E-04,4.25E-02,1.68E-02,7.03E-03
0.2235,1.19E-02,9.41E-04,4.24E-02,1.68E-02,7.02E-03
0.2245,1.19E-02,9.46E-04,4.22E-02,1.68E-02,7.02E-03
0.2255,1.18E-02,9.51E-04,4.20E-02,1.68E-02,7.01E-03
0.2265,1.18E-02,9.56E-04,4.19E-02,1.68E-02,7.01E-03
0.2275,1.18E-02,9.61E-04,4.17E-02,1.68E-02,7.00E-03
0.2285,1.17E-02,9.66E-04,4.15E-02,1.68E-02,7.00E-03
0.2295,1.17E-02,9.70E-04,4.14E-02,1.68E-02,6.99E-03
0.2305,1.17E-02,9.75E-04,4.12E-02,1.68E-02,6.99E-03
0.2315,1.16E-02,9.80E-04,4.11E-02,1.67E-02,6.98E-03
0.2325,1.16E-02,9.85E-04,4.09E-02,1.67E-02,6.98E-03
0.2335,1.16E-02,9.90E-04,4.07E-02,1.67E-02,6.97E-03
0.2345,1.15E-02,9.94E-04,4.06E-02,1.67E-02,6.96E-03
0.2355,1.15E-02,9.99E-04,4.04E-02,1.67E-02,6.96E-03
0.2365,1.15E-02,1.00E-03,4.03E-02,1.67E-02,6.95E-03
0.2375,1.14E-02,1.01E-03,4.01E-02,1.67E-02,6.94E-03
0.2385,1.14E-02,1.01E-03,3.99E-02,1.67E-02,6.93E-03
0.2395,1.14E-02,1.02E-03,3.98E-02,1.67E-02,6.93E-03
0.2405,1.13E-02,1.02E-03,3.96E-02,1.67E-02,6.92E-03
0.2415,1.13E-02,1.03E-03,3.95E-02,1.67E-02,6.91E-03
0.2425,1.13E-02,1.03E-03,3.93E-02,1.67E-02,6.90E-03
0.2435,1.12E-02,1.04E-03,3.92E-02,1.67E-02,6.90E-03
