R,Exact,LDG,LDGQ,LDP,LDPQ,WD
0.1465,1.487429E+00,1.487487E+00,1.487449E+00,1.489390E+00,1.489694E+00,1.488693E+00
0.1475,1.487648E+00,1.487705E+00,1.487669E+00,1.489580E+00,1.489892E+00,1.488901E+00
0.1485,1.487869E+00,1.487925E+00,1.487891E+00,1.489773E+00,1.490091E+00,1.489110E+00
0.1495,1.488092E+00,1.488146E+00,1.488114E+00,1.489968E+00,1.490293E+00,1.489320E+00
0.1505,1.488316E+00,1.488369E+00,1.488338E+00,1.490165E+00,1.490495E+00,1.489533E+00
0.1515,1.488542E+00,1.488593E+00,1.488564E+00,1.490364E+00,1.490700E+00,1.489746E+00
0.1525,1.488769E+00,1.488819E+00,1.488792E+00,1.490565E+00,1.490906E+00,1.489961E+00
0.1535,1.488998E+00,1.489046E+00,1.489021E+00,1.490768E+00,1.491113E+00,1.490178E+00
0.1545,1.489229E+00,1.489275E+00,1.489252E+00,1.490973E+00,1.491322E+00,1.490396E+00
0.1555,1.489461E+00,1.489506E+00,1.489484E+00,1.491180E+00,1.491533E+00,1.490616E+00
0.1565,1.489694E+00,1.489738E+00,1.489718E+00,1.491389E+00,1.491746E+00,1.490837E+00
0.1575,1.489929E+00,1.489972E+00,1.489953E+00,1.491600E+00,1.491960E+00,1.491060E+00
0.1585,1.490166E+00,1.490207E+00,1.490190E+00,1.491812E+00,1.492175E+00,1.491284E+00
0.1595,1.490404E+00,1.490444E+00,1.490428E+00,1.492027E+00,1.492393E+00,1.491510E+00
0.1605,1.490644E+00,1.490682E+00,1.490668E+00,1.492244E+00,1.492612E+00,1.491737E+00
0.1615,1.490885E+00,1.490922E+00,1.490910E+00,1.492462E+00,1.492833E+00,1.491966E+00
0.1625,1.491128E+00,1.491164E+00,1.491153E+00,1.492683E+00,1.493055E+00,1.492196E+00
0.1635,1.491372E+00,1.491407E+00,1.491398E+00,1.492906E+00,1.493279E+00,1.492428E+00
0.1645,1.491618E+00,1.491652E+00,1.491644E+00,1.493130E+00,1.493505E+00,1.492661E+00
0.1655,1.491866E+00,1.491898E+00,1.491892E+00,1.493357E+00,1.493732E+00,1.492896E+00
0.1665,1.492115E+00,1.492146E+00,1.492141E+00,1.493585E+00,1.493961E+00,1.493133E+00
0.1675,1.492366E+00,1.492395E+00,1.492392E+00,1.493815E+00,1.494192E+00,1.493371E+00
0.1685,1.492618E+00,1.492647E+00,1.492644E+00,1.494047E+00,1.494425E+00,1.493611E+00
0.1695,1.492872E+00,1.492899E+00,1.492898E+00,1.494282E+00,1.494659E+00,1.493852E+00
0.1705,1.493127E+00,1.493153E+00,1.493154E+00,1.494518E+00,1.494895E+00,1.494095E+00
