R,LDG,LDGQ,LDP,LDPQ,WD
0.0285,2.07E-04,5.58E-07,7.61E-03,1.56E-03,7.49E-04
0.0287,2.07E-04,5.64E-07,7.59E-03,1.57E-03,7.53E-04
0.0289,2.07E-04,5.69E-07,7.57E-03,1.58E-03,7.56E-04
0.0291,2.07E-04,5.75E-07,7.55E-03,1.59E-03,7.60E-04
0.0293,2.06E-04,5.81E-07,7.53E-03,1.60E-03,7.64E-04
0.0295,2.06E-04,5.87E-07,7.51E-03,1.60E-03,7.67E-04
0.0297,2.06E-04,5.93E-07,7.49E-03,1.61E-03,7.71E-04
0.0299,2.06E-04,5.99E-07,7.47E-03,1.62E-03,7.74E-04
0.0301,2.06E-04,6.05E-07,7.45E-03,1.63E-03,7.78E-04
0.0303,2.06E-04,6.11E-07,7.43E-03,1.63E-03,7.81E-04
0.0305,2.05E-04,6.17E-07,7.41E-03,1.64E-03,7.85E-04
0.0307,2.05E-04,6.24E-07,7.39E-03,1.65E-03,7.88E-04
0.0309,2.05E-04,6.30E-07,7.37E-03,1.66E-03,7.92E-04
0.0311,2.05E-04,6.36E-07,7.35E-03,1.66E-03,7.95E-04
0.0313,2.05E-04,6.43E-07,7.33E-03,1.67E-03,7.99E-04
0.0315,2.04E-04,6.49E-07,7.31E-03,1.68E-03,8.02E-04
0.0317,2.04E-04,6.56E-07,7.29E-03,1.68E-03,8.06E-04
0.0319,2.04E-04,6.63E-07,7.27E-03,1.69E-03,8.09E-04
0.0321,2.04E-04,6.70E-07,7.25E-03,1.70E-03,8.12E-04
0.0323,2.04E-04,6.76E-07,7.23E-03,1.71E-03,8.16E-04
0.0325,2.03E-04,6.83E-07,7.21E-03,1.71E-03,8.19E-04
0.0327,2.03E-04,6.90E-07,7.19E-03,1.72E-03,8.22E-04
0.0329,2.03E-04,6.97E-07,7.18E-03,1.73E-03,8.26E-04
0.0331,2.03E-04,7.04E-07,7.16E-03,1.73E-03,8.29E-04
0.0333,2.03E-04,7.11E-07,7.14E-03,1.74E-03,8.32E-04
0.0335,2.02E-04,7.19E-07,7.12E-03,1.75E-03,8.35E-04
0.0337,2.02E-04,7.26E-07,7.10E-03,1.75E-03,8.39E-04
0.0339,2.02E-04,7.33E-07,7.08E-03,1.76E-03,8.42E-04
0.0341,2.02E-04,7.41E-07,7.06E-03,1.77E-03,8.45E-04
0.0343,2.02E-04,7.48E-07,7.04E-03,1.77E-03,8.48E-04
0.0345,2.01E-04,7.56E-07,7.03E-03,1.78E-03,8.51E-04
0.0347,2.01E-04,7.63E-07,7.01E-03,1.79E-03,8.54E-04
0.0349,2.01E-04,7.71E-07,6.99E-03,1.79E-03,8.57E-04
0.0351,2.01E-04,7.79E-07,6.97E-03,1.80E-03,8.61E-04
0.0353,2.01E-04,7.86E-07,6.95E-03,1.81E-03,8.64E-04
0.0355,2.00E-04,7.94E-07,6.93E-03,1.81E-03,8.67E-04
0.0357,2.00E-04,8.02E-07,6.92E-03,1.82E-03,8.70E-04
0.0359,2.00E-04,8.10E-07,6.90E-03,1.83E-03,8.73E-04
0.0361,2.00E-04,8.18E-07,6.88E-03,1.83E-03,8.76E-04
0.0363,2.00E-04,8.26E-07,6.86E-03,1.84E-03,8.79E-04
0.0365,1.99E-04,8.34E-07,6.84E-03,1.84E-03,8.82E-04
0.0367,1.99E-04,8.43E-07,6.83E-03,1.85E-03,8.85E-04
0.0369,1.99E-04,8.51E-07,6.81E-03,1.86E-03,8.88E-04
0.0371,1.99E-04,8.59E-07,6.79E-03,1.86E-03,8.90E-04
0.0373,1.99E-04,8.68E-07,6.77E-03,1.87E-03,8.93E-04
0.0375,1.98E-04,8.76E-07,6.75E-03,1.87E-03,8.96E-04
0.0377,1.98E-04,8.85E-07,6.74E-03,1.88E-03,8.99E-04
0.0379,1.98E-04,8.93E-07,6.72E-03,1.89E-03,9.02E-04
0.0381,1.98E-04,9.02E-07,6.70E-03,1.89E-03,9.05E-04
0.0383,1.97E-04,9.11E-07,6.68E-03,1.90E-03,9.08E-04
0.0385,1.97E-04,9.19E-07,6.67E-03,1.90E-03,9.10E-04
0.0387,1.97E-04,9.28E-07,6.65E-03,1.91E-03,9.13E-04
0.0389,1.97E-04,9.37E-07,6.63E-03,1.91E-03,9.16E-04
0.0391,1.97E-04,9.46E-07,6.62E-03,1.92E-03,9.19E-04
0.0393,1.96E-04,9.55E-07,6.60E-03,1.93E-03,9.21E-04
0.0395,1.96E-04,9.64E-07,6.58E-03,1.93E-03,9.24E-04
0.0397,1.96E-04,9.73E-07,6.56E-03,1.94E-03,9.27E-04
0.0399,1.96E-04,9.83E-07,6.55E-03,1.94E-03,9.29E-04
0.0401,1.95E-04,9.92E-07,6.53E-03,1.95E-03,9.32E-04
0.0403,1.95E-04,1.00E-06,6.51E-03,1.95E-03,9.35E-04
0.0405,1.95E-04,1.01E-06,6.50E-03,1.96E-03,9.37E-04
0.0407,1.95E-04,1.02E-06,6.48E-03,1.96E-03,9.40E-04
0.0409,1.95E-04,1.03E-06,6.46E-03,1.97E-03,9.42E-04
0.0411,1.94E-04,1.04E-06,6.45E-03,1.97E-03,9.45E-04
0.0413,1.94E-04,1.05E-06,6.43E-03,1.98E-03,9.48E-04
0.0415,1.94E-04,1.06E-06,6.41E-03,1.98E-03,9.50E-04
0.0417,1.94E-04,1.07E-06,6.40E-03,1.99E-03,9.53E-04
0.0419,1.93E-04,1.08E-06,6.38E-03,1.99E-03,9.55E-04
0.0421,1.93E-04,1.09E-06,6.36E-03,2.00E-03,9.58E-04
0.0423,1.93E-04,1.10E-06,6.35E-03,2.00E-03,9.60E-04
0.0425,1.93E-04,1.11E-06,6.33E-03,2.01E-03,9.63E-04
0.0427,1.92E-04,1.12E-06,6.31E-03,2.01E-03,9.65E-04
0.0429,1.92E-04,1.13E-06,6.30E-03,2.02E-03,9.67E-04
0.0431,1.92E-04,1.14E-06,6.28E-03,2.02E-03,9.70E-04
0.0433,1.92E-04,1.15E-06,6.27E-03,2.03E-03,9.72E-04
0.0435,1.91E-04,1.16E-06,6.25E-03,2.03E-03,9.75E-04
0.0437,1.91E-04,1.17E-06,6.23E-03,2.04E-03,9.77E-04
0.0439,1.91E-04,1.18E-06,6.22E-03,2.04E-03,9.79E-04
0.0441,1.91E-04,1.19E-06,6.20E-03,2.05E-03,9.82E-04
0.0443,1.91E-04,1.20E-06,6.19E-03,2.05E-03,9.84E-04
0.0445,1.90E-04,1.21E-06,6.17E-03,2.05E-03,9.86E-04
0.0447,1.90E-04,1.22E-06,6.15E-03,2.06E-03,9.88E-04
0.0449,1.90E-04,1.23E-06,6.14E-03,2.06E-03,9.91E-04
0.0451,1.90E-04,1.24E-06,6.12E-03,2.07E-03,9.93E-04
0.0453,1.89E-04,1.25E-06,6.11E-03,2.07E-03,9.95E-04
0.0455,1.89E-04,1.27E-06,6.09E-03,2.08E-03,9.97E-04
0.0457,1.89E-04,1.28E-06,6.08E-03,2.08E-03,1.00E-03
0.0459,1.89E-04,1.29E-06,6.06E-03,2.08E-03,1.00E-03
0.0461,1.88E-04,1.30E-06,6.05E-03,2.09E-03,1.00E-03
0.0463,1.88E-04,1.31E-06,6.03E-03,2.09E-03,1.01E-03
0.0465,1.88E-04,1.32E-06,6.01E-03,2.10E-03,1.01E-03
0.0467,1.88E-04,1.33E-06,6.00E-03,2.10E-03,1.01E-03
0.0469,1.87E-04,1.34E-06,5.98E-03,2.11E-03,1.01E-03
0.0471,1.87E-04,1.35E-06,5.97E-03,2.11E-03,1.01E-03
0.0473,1.87E-04,1.37E-06,5.95E-03,2.11E-03,1.02E-03
0.0475,1.87E-04,1.38E-06,5.94E-03,2.12E-03,1.02E-03
0.0477,1.86E-04,1.39E-06,5.92E-03,2.12E-03,1.02E-03
0.0479,1.86E-04,1.40E-06,5.91E-03,2.12E-03,1.02E-03
0.0481,1.86E-04,1.41E-06,5.89E-03,2.13E-03,1.02E-03
