R,LDG,LDGQ,LDP,LDPQ,WD
0.1275,5.24E-04,2.64E-05,7.23E-03,4.45E-03,2.24E-03
0.1285,5.20E-04,2.68E-05,7.17E-03,4.44E-03,2.24E-03
0.1295,5.16E-04,2.71E-05,7.12E-03,4.43E-03,2.23E-03
0.1305,5.12E-04,2.75E-05,7.06E-03,4.42E-03,2.23E-03
0.1315,5.08E-04,2.78E-05,7.00E-03,4.41E-03,2.23E-03
0.1325,5.04E-04,2.82E-05,6.95E-03,4.40E-03,2.22E-03
0.1335,5.00E-04,2.86E-05,6.89E-03,4.39E-03,2.22E-03
0.1345,4.96E-04,2.90E-05,6.84E-03,4.37E-03,2.21E-03
0.1355,4.93E-04,2.93E-05,6.78E-03,4.36E-03,2.21E-03
0.1365,4.89E-04,2.97E-05,6.73E-03,4.35E-03,2.20E-03
0.1375,4.85E-04,3.01E-05,6.68E-03,4.34E-03,2.20E-03
0.1385,4.81E-04,3.05E-05,6.63E-03,4.32E-03,2.19E-03
0.1395,4.77E-04,3.08E-05,6.58E-03,4.31E-03,2.19E-03
0.1405,4.73E-04,3.12E-05,6.53E-03,4.30E-03,2.18E-03
0.1415,4.70E-04,3.16E-05,6.48E-03,4.28E-03,2.18E-03
0.1425,4.66E-04,3.20E-05,6.43E-03,4.27E-03,2.17E-03
0.1435,4.62E-04,3.24E-05,6.38E-03,4.25E-03,2.17E-03
0.1445,4.58E-04,3.28E-05,6.33E-03,4.24E-03,2.16E-03
0.1455,4.55E-04,3.32E-05,6.28E-03,4.23E-03,2.16E-03
0.1465,4.51E-04,3.36E-05,6.23E-03,4.21E-03,2.15E-03
0.1475,4.47E-04,3.40E-05,6.19E-03,4.20E-03,2.14E-03
0.1485,4.44E-04,3.44E-05,6.14E-03,4.18E-03,2.14E-03
0.1495,4.40E-04,3.48E-05,6.10E-03,4.17E-03,2.13E-03
0.1505,4.37E-04,3.52E-05,6.05E-03,4.15E-03,2.13E-03
0.1515,4.33E-04,3.56E-05,6.01E-03,4.14E-03,2.12E-03
0.1525,4.30E-04,3.60E-05,5.96E-03,4.12E-03,2.11E-03
0.1535,4.26E-04,3.64E-05,5.92E-03,4.10E-03,2.11E-03
0.1545,4.23E-04,3.68E-05,5.88E-03,4.09E-03,2.10E-03
0.1555,4.20E-04,3.72E-05,5.83E-03,4.07E-03,2.09E-03
0.1565,4.16E-04,3.76E-05,5.79E-03,4.06E-03,2.08E-03
0.1575,4.13E-04,3.81E-05,5.75E-03,4.04E-03,2.08E-03
0.1585,4.10E-04,3.85E-05,5.71E-03,4.02E-03,2.07E-03
0.1595,4.06E-04,3.89E-05,5.67E-03,4.01E-03,2.06E-03
0.1605,4.03E-04,3.93E-05,5.63E-03,3.99E-03,2.05E-03
0.1615,4.00E-04,3.98E-05,5.59E-03,3.97E-03,2.05E-03
0.1625,3.97E-04,4.02E-05,5.55E-03,3.96E-03,2.04E-03
0.1635,3.94E-04,4.06E-05,5.51E-03,3.94E-03,2.03E-03
0.1645,3.91E-04,4.11E-05,5.47E-03,3.92E-03,2.02E-03
